parent,name,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,status
,AggregateARTHistory,AggregateARTHistory,"An aggregate dataset that contains counts of TxCurr (Active Patient on treatment) for each facility at each month disagregated by facility, County, Subcounty and Partner. Query this table for Active number on treatment in different time periods and not as the end of current reporting Period i.e if you want to get Active patients on treatment as at January 2023, aggregate txcurr observations that have ASofDateKey = ""2023-01-31"" , if you want to get Active patients on treatment as at February 2023, aggregate txcurr observations that have ASofDateKey = ""2023-02-28"" ,..etc, txcurr is reported at the end of the month",,,,,,,Approved
text2sql.AggregateARTHistory,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateARTHistory,AsofDateKey,AsofDateKey,The End of month reporting date,,,,,,,Approved
text2sql.AggregateARTHistory,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateARTHistory,DATIMAgeGroup,DATIMAgeGroup,The DATIM Age disaggregations,,,,,,,Approved
text2sql.AggregateARTHistory,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateARTHistory,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateARTHistory,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateARTHistory,NumofPatients,NumofPatients,The total number of patients on TXcurr,,,,,,,Approved
text2sql.AggregateARTHistory,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateARTHistory,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateARTHistory,isTxCurr,isTxCurr,Indication whether the patients are on TxCurr or not 1= True 0 = False,,,,,,,Approved
,AggregateAdverseEvents,AggregateAdverseEvents,"An aggregate table that contains Counts of individuals who have been reported adverse events grouped by Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateAdverseEvents,AdverseClientsCount,AdverseClientsCount,Counts of individuals with adverse events,,,,,,,Approved
text2sql.AggregateAdverseEvents,AdverseEvent,AdverseEvent,Description of Adverse event,,,,,,,Approved
text2sql.AggregateAdverseEvents,AdverseEventActionTaken,AdverseEventActionTaken,Intervention by provider in response to the adverse event,,,,,,,Approved
text2sql.AggregateAdverseEvents,AdverseEventCause,AdverseEventCause,Drug causing the adverse event,,,,,,,Approved
text2sql.AggregateAdverseEvents,AdverseEventRegimen,AdverseEventRegimen,Regimen Patient is on during the event,,,,,,,Approved
text2sql.AggregateAdverseEvents,AdverseEventsCount,AdverseEventsCount,Counts of interaction with adverse events,,,,,,,Approved
text2sql.AggregateAdverseEvents,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateAdverseEvents,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateAdverseEvents,DATIMAgeGroup,DATIMAgeGroup,A 4-year age band using the DATIM system disaggregations,,,,,,,Approved
text2sql.AggregateAdverseEvents,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateAdverseEvents,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateAdverseEvents,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateAdverseEvents,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateAdverseEvents,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateAdverseEvents,Severity,Severity,This provides the options for severety,,,,,,,Approved
text2sql.AggregateAdverseEvents,Subcounty,Subcounty,The Sub County where the facility is located,,,,,,,Approved
,AggregateAppointments,AggregateAppointments,"An aggregate table that contains counts of individual's appointment status per facility in a given month, grouped by Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateAppointments,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateAppointments,AppointmentStatus,AppointmentStatus,"The appointment outcome calculated as Came before, Dead, IIT and RTT beyond 30 days, Missed 1-7 days, missed 15-30 days, Ontime, Still IIT, IIT and RTT within 30 days, stopped , transferout",,,,,,,Approved
text2sql.AggregateAppointments,AsOfDate,AsOfDate,End of the reporting month,,,,,,,Approved
text2sql.AggregateAppointments,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateAppointments,DATIMAgeGroup,DATIMAgeGroup,A 4-year age band using the DATIM system disaggregations,,,,,,,Approved
text2sql.AggregateAppointments,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateAppointments,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateAppointments,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateAppointments,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateAppointments,NumOfPatients,NumOfPatients,The counts of individuals disagregated by appointment status,,,,,,,Approved
text2sql.AggregateAppointments,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateAppointments,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
,AggregateClientSelfTested,AggregateClientSelfTested,"Contains Counts of individuals who had a self test within a given reporting period , grouped by Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateClientSelfTested,AgeGroup,AgeGroup,A 4 year age band from 1 to 64 years,,,,,,,Approved
text2sql.AggregateClientSelfTested,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateClientSelfTested,ClientSelfTested,ClientSelfTested,Case where the client is seftested,,,,,,,Approved
text2sql.AggregateClientSelfTested,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateClientSelfTested,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateClientSelfTested,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateClientSelfTested,Linked,Linked,Count of the number of linked individuals,,,,,,,Approved
text2sql.AggregateClientSelfTested,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateClientSelfTested,MonthName,MonthName,Calendar Month name,,,,,,,Approved
text2sql.AggregateClientSelfTested,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateClientSelfTested,Positive,Positive,Count of the number of individuals who turned HIV positive,,,,,,,Approved
text2sql.AggregateClientSelfTested,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateClientSelfTested,Tested,Tested,Counts of the number of tested individuals,,,,,,,Approved
text2sql.AggregateClientSelfTested,month,month,Calendar month,,,,,,,Approved
text2sql.AggregateClientSelfTested,year,year,calendar year,,,,,,,Approved
,AggregateClientTestedAs,AggregateClientTestedAs,"An aggregate table that Contains Counts of individuals who tested as individuals or couples within a given reporting period,grouped by Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateClientTestedAs,AgeGroup,AgeGroup,A 4 year age band from 1 to 64 years,,,,,,,Approved
text2sql.AggregateClientTestedAs,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateClientTestedAs,ClientTestedAs,ClientTestedAs,The mode which the client was tested as either individual or couple,,,,,,,Approved
text2sql.AggregateClientTestedAs,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateClientTestedAs,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateClientTestedAs,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateClientTestedAs,Linked,Linked,Count of the number of linked individuals,,,,,,,Approved
text2sql.AggregateClientTestedAs,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateClientTestedAs,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateClientTestedAs,MonthName,MonthName,Calendar Month name,,,,,,,Approved
text2sql.AggregateClientTestedAs,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateClientTestedAs,Positive,Positive,Count of the number of individuals who turned HIV positive,,,,,,,Approved
text2sql.AggregateClientTestedAs,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateClientTestedAs,Tested,Tested,Counts of the number of tested individuals,,,,,,,Approved
text2sql.AggregateClientTestedAs,clientTestedAs,clientTestedAs,Client tested as either individual or as a couple,,,,,,,Approved
text2sql.AggregateClientTestedAs,month,month,Calendar month,,,,,,,Approved
text2sql.AggregateClientTestedAs,year,year,calendar year,,,,,,,Approved
,AggregateCovid,AggregateCovid,"An aggregate table that contains Counts of individuals Covid's Vaccination status disaggregated per facility,grouped by Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateCovid,AdmissionStatus,AdmissionStatus,A state of the individual showing if they are addmitted or nor,,,,,,,Approved
text2sql.AggregateCovid,AdmissionUnit,AdmissionUnit,"A state for the individual If admitted, In which unit was client admitted",,,,,,,Approved
text2sql.AggregateCovid,AgeGroup,AgeGroup,A 4 year age band from 1 to 64 years,,,,,,,Approved
text2sql.AggregateCovid,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateCovid,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateCovid,EverCOVID19Positive,EverCOVID19Positive,A state If individual has ever tested for COVID19,,,,,,,Approved
